Latitude (decimal degrees):	50.947
Longitude (decimal degrees):	4.827
Elevation (m):	23
Radiation database:	PVGIS-SARAH2


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20050930:2010,0.0,0.0,0.0,12.43,4.76,0.0
20050930:2110,0.0,0.0,0.0,12.57,4.48,0.0
20050930:2210,0.0,0.0,0.0,12.78,4.48,0.0
20050930:2310,0.0,0.0,0.0,13.05,4.55,0.0
20051001:0010,0.0,0.0,0.0,13.41,4.62,0.0
20051001:0110,0.0,0.0,0.0,13.78,4.69,0.0
20051001:0210,0.0,0.0,0.0,14.09,4.69,0.0
20051001:0310,0.0,0.0,0.0,14.34,4.69,0.0
20051001:0410,0.0,0.0,0.0,14.57,4.69,0.0
20051001:0510,0.0,0.0,0.0,14.81,4.62,0.0
20051001:0610,0.0,0.0,0.0,15.08,4.55,0.0
20051001:0710,44.13,69.16,13.13,15.7,4.62,0.0
20051001:0810,191.89,240.37,21.41,15.33,4.9,0.0
20051001:0910,134.84,175.42,28.38,14.73,3.86,0.0
20051001:1010,555.05,673.13,33.39,14.91,3.72,0.0
20051001:1110,606.87,740.7,35.8,15.55,4.0,0.0
20051001:1210,196.59,248.0,35.23,15.94,4.34,0.0
20051001:1310,670.81,821.95,31.78,16.29,4.55,0.0
20051001:1410,432.01,523.3,25.95,16.03,4.48,0.0
20051001:1510,435.27,533.8,18.42,15.68,3.93,0.0
20051001:1610,191.92,258.71,9.78,15.07,2.97,0.0
20051001:1710,0.0,3.71,0.53,14.07,2.76,0.0
20051001:1810,0.0,0.0,0.0,12.74,2.62,0.0
20051001:1910,0.0,0.0,0.0,12.13,2.41,0.0
20051001:2010,0.0,0.0,0.0,11.64,2.62,0.0
20051001:2110,0.0,0.0,0.0,11.02,2.62,0.0
20051001:2210,0.0,0.0,0.0,10.26,2.48,0.0
20051001:2310,0.0,0.0,0.0,9.71,2.41,0.0
20051002:0010,0.0,0.0,0.0,9.22,2.41,0.0
20051002:0110,0.0,0.0,0.0,9.04,2.34,0.0
20051002:0210,0.0,0.0,0.0,8.72,2.41,0.0
20051002:0310,0.0,0.0,0.0,8.75,2.41,0.0
20051002:0410,0.0,0.0,0.0,8.65,2.48,0.0
20051002:0510,0.0,0.0,0.0,8.51,2.48,0.0
20051002:0610,0.0,0.0,0.0,8.62,2.41,0.0
20051002:0710,151.58,196.72,12.86,9.58,2.0,0.0
20051002:0810,370.32,442.66,21.12,10.8,2.48,0.0
20051002:0910,519.78,623.94,28.06,11.86,2.55,0.0
20051002:1010,300.47,364.64,33.04,12.79,2.69,0.0
20051002:1110,685.14,842.16,35.42,13.35,2.9,0.0
20051002:1210,547.43,664.12,34.84,13.84,3.24,0.0
20051002:1310,35.29,57.48,31.39,14.21,3.38,0.0
20051002:1410,108.11,144.68,25.57,14.62,3.31,0.0
20051002:1510,289.91,356.88,18.05,14.5,3.1,0.0
20051002:1610,7.89,20.4,9.42,13.98,2.69,0.0
20051002:1710,0.0,2.62,0.18,12.84,2.76,0.0
20051002:1810,0.0,0.0,0.0,11.63,2.69,0.0
20051002:1910,0.0,0.0,0.0,10.57,2.62,0.0
20051002:2010,0.0,0.0,0.0,10.1,2.55,0.0
20051002:2110,0.0,0.0,0.0,9.74,2.48,0.0
20051002:2210,0.0,0.0,0.0,9.33,2.41,0.0
20051002:2310,0.0,0.0,0.0,9.01,2.21,0.0
20051003:0010,0.0,0.0,0.0,8.9,2.07,0.0
20051003:0110,0.0,0.0,0.0,8.54,1.93,0.0
20051003:0210,0.0,0.0,0.0,8.18,1.72,0.0
20051003:0310,0.0,0.0,0.0,7.72,1.72,0.0
20051003:0410,0.0,0.0,0.0,7.26,1.93,0.0
20051003:0510,0.0,0.0,0.0,6.83,1.93,0.0
20051003:0610,0.0,0.0,0.0,6.65,1.66,0.0
20051003:0710,146.73,190.6,12.59,8.77,1.59,0.0
20051003:0810,380.87,454.92,20.83,10.02,2.0,0.0
20051003:0910,578.72,697.51,27.74,11.03,2.14,0.0
20051003:1010,703.86,864.39,32.68,12.5,2.55,0.0
20051003:1110,589.15,718.47,35.04,14.0,3.03,0.0
20051003:1210,315.98,385.66,34.44,14.53,3.1,0.0
20051003:1310,383.58,466.65,30.99,15.04,3.03,0.0
20051003:1410,292.02,358.38,25.19,15.11,2.76,0.0
20051003:1510,75.5,106.77,17.68,15.4,2.9,0.0
20051003:1610,170.43,232.04,9.06,14.96,2.28,0.0
20051003:1710,0.0,0.0,-0.17,13.77,2.21,0.0
20051003:1810,0.0,0.0,0.0,12.49,2.41,0.0
20051003:1910,0.0,0.0,0.0,11.75,2.34,0.0
20051003:2010,0.0,0.0,0.0,11.07,2.48,0.0
20051003:2110,0.0,0.0,0.0,10.37,2.76,0.0
20051003:2210,0.0,0.0,0.0,10.03,2.83,0.0
20051003:2310,0.0,0.0,0.0,9.75,2.83,0.0
20051004:0010,0.0,0.0,0.0,9.59,2.83,0.0
20051004:0110,0.0,0.0,0.0,9.54,2.9,0.0
20051004:0210,0.0,0.0,0.0,9.7,3.03,0.0
20051004:0310,0.0,0.0,0.0,9.89,3.24,0.0
20051004:0410,0.0,0.0,0.0,9.76,3.38,0.0
20051004:0510,0.0,0.0,0.0,9.72,3.45,0.0
20051004:0610,0.0,0.0,0.0,9.78,3.52,0.0
20051004:0710,51.0,76.13,12.32,9.94,3.72,0.0
20051004:0810,126.17,162.33,20.54,11.13,4.62,0.0
20051004:0910,93.57,126.12,27.42,12.2,5.1,0.0
20051004:1010,56.85,83.44,32.33,13.08,5.66,0.0
20051004:1110,65.21,93.64,34.66,13.76,5.79,0.0
20051004:1210,42.02,65.82,34.05,14.31,5.52,0.0
20051004:1310,359.25,433.07,30.6,15.1,5.52,0.0
20051004:1410,380.99,459.2,24.81,15.48,5.45,0.0
20051004:1510,119.61,158.23,17.31,15.55,5.1,0.0
20051004:1610,69.0,101.23,8.71,15.42,4.48,0.0
20051004:1710,0.0,0.0,-0.52,15.17,3.72,0.0
20051004:1810,0.0,0.0,0.0,15.03,3.52,0.0
20051004:1910,0.0,0.0,0.0,14.37,3.59,0.0
20051004:2010,0.0,0.0,0.0,14.39,3.72,0.0
20051004:2110,0.0,0.0,0.0,14.37,3.66,0.0
20051004:2210,0.0,0.0,0.0,14.09,3.59,0.0
20051004:2310,0.0,0.0,0.0,13.64,3.52,0.0
20051005:0010,0.0,0.0,0.0,12.99,3.45,0.0
20051005:0110,0.0,0.0,0.0,12.66,3.45,0.0
20051005:0210,0.0,0.0,0.0,12.33,3.45,0.0
20051005:0310,0.0,0.0,0.0,12.03,3.45,0.0
20051005:0410,0.0,0.0,0.0,11.86,3.52,0.0
20051005:0510,0.0,0.0,0.0,11.61,3.45,0.0
20051005:0610,0.0,0.0,0.0,11.38,3.31,0.0
20051005:0710,81.19,113.96,12.05,12.57,3.24,0.0
20051005:0810,232.19,284.74,20.24,13.45,3.86,0.0
20051005:0910,100.37,135.49,27.09,14.79,4.28,0.0
20051005:1010,108.95,146.48,31.97,16.15,4.21,0.0
20051005:1110,114.7,153.9,34.28,17.12,4.07,0.0
20051005:1210,76.06,108.47,33.66,17.93,3.93,0.0
20051005:1310,126.64,168.88,30.21,18.37,3.52,0.0
20051005:1410,64.29,94.56,24.43,18.45,2.76,0.0
20051005:1510,220.52,280.73,16.95,18.66,2.9,0.0
20051005:1610,118.28,167.6,8.35,18.4,2.41,0.0
20051005:1710,0.0,0.0,0.0,17.59,2.34,0.0
20051005:1810,0.0,0.0,0.0,16.4,2.55,0.0
20051005:1910,0.0,0.0,0.0,15.6,2.55,0.0
20051005:2010,0.0,0.0,0.0,15.06,2.55,0.0
20051005:2110,0.0,0.0,0.0,14.58,2.48,0.0
20051005:2210,0.0,0.0,0.0,14.12,2.41,0.0
20051005:2310,0.0,0.0,0.0,13.71,2.41,0.0
20051006:0010,0.0,0.0,0.0,13.34,2.34,0.0
20051006:0110,0.0,0.0,0.0,12.95,2.21,0.0
20051006:0210,0.0,0.0,0.0,12.52,2.14,0.0
20051006:0310,0.0,0.0,0.0,12.12,2.07,0.0
20051006:0410,0.0,0.0,0.0,11.8,2.07,0.0
20051006:0510,0.0,0.0,0.0,11.44,2.07,0.0
20051006:0610,0.0,0.0,0.0,11.12,2.14,0.0
20051006:0710,56.59,83.79,11.78,11.53,1.72,0.0
20051006:0810,122.47,159.61,19.95,12.08,1.59,0.0
20051006:0910,127.8,166.79,26.77,13.14,1.72,0.0
20051006:1010,126.97,167.01,31.62,14.62,2.14,0.0
20051006:1110,130.71,172.49,33.9,16.33,2.76,0.0
20051006:1210,83.56,117.74,33.27,18.28,3.1,0.0
20051006:1310,118.62,160.47,29.82,19.62,2.9,0.0
20051006:1410,485.51,608.42,24.05,20.07,2.55,0.0
20051006:1510,373.93,473.22,16.59,19.99,2.41,0.0
20051006:1610,188.97,264.69,8.0,19.26,2.14,0.0
20051006:1710,0.0,0.0,0.0,17.57,2.41,0.0
20051006:1810,0.0,0.0,0.0,16.08,2.48,0.0
20051006:1910,0.0,0.0,0.0,15.27,2.41,0.0
20051006:2010,0.0,0.0,0.0,14.84,2.21,0.0
20051006:2110,0.0,0.0,0.0,14.25,2.07,0.0
20051006:2210,0.0,0.0,0.0,13.9,1.86,0.0
20051006:2310,0.0,0.0,0.0,13.32,1.72,0.0
20051007:0010,0.0,0.0,0.0,12.72,1.59,0.0
20051007:0110,0.0,0.0,0.0,12.21,1.45,0.0
20051007:0210,0.0,0.0,0.0,11.61,1.45,0.0
20051007:0310,0.0,0.0,0.0,10.93,1.66,0.0
20051007:0410,0.0,0.0,0.0,10.59,1.72,0.0
20051007:0510,0.0,0.0,0.0,10.53,1.66,0.0
20051007:0610,0.0,0.0,0.0,10.64,1.59,0.0
20051007:0710,51.19,77.04,11.51,10.82,1.03,0.0
20051007:0810,126.9,164.38,19.66,11.34,1.1,0.0
20051007:0910,167.79,212.19,26.44,12.28,1.17,0.0
20051007:1010,174.93,222.39,31.26,13.98,1.45,0.0
20051007:1110,190.89,243.79,33.52,16.15,1.17,0.0
20051007:1210,182.92,236.16,32.88,17.66,1.03,0.0
20051007:1310,232.76,296.48,29.44,18.65,1.03,0.0
20051007:1410,223.46,285.61,23.68,19.17,1.03,0.0
20051007:1510,226.57,291.3,16.22,19.36,1.17,0.0
20051007:1610,179.15,252.94,7.65,18.92,0.83,0.0
20051007:1710,0.0,0.0,0.0,17.62,1.17,0.0
20051007:1810,0.0,0.0,0.0,15.55,1.31,0.0
20051007:1910,0.0,0.0,0.0,15.53,0.48,0.0
20051007:2010,0.0,0.0,0.0,13.58,1.1,0.0
20051007:2110,0.0,0.0,0.0,12.78,1.66,0.0
20051007:2210,0.0,0.0,0.0,12.65,1.66,0.0
20051007:2310,0.0,0.0,0.0,12.65,1.72,0.0
20051008:0010,0.0,0.0,0.0,12.82,1.79,0.0
20051008:0110,0.0,0.0,0.0,12.63,1.86,0.0
20051008:0210,0.0,0.0,0.0,12.08,2.14,0.0
20051008:0310,0.0,0.0,0.0,11.77,2.14,0.0
20051008:0410,0.0,0.0,0.0,11.58,2.14,0.0
20051008:0510,0.0,0.0,0.0,11.43,2.14,0.0
20051008:0610,0.0,0.0,0.0,11.34,2.14,0.0
20051008:0710,37.59,60.45,11.23,12.76,2.97,0.0
20051008:0810,109.1,144.64,19.36,13.51,3.31,0.0
20051008:0910,91.62,125.27,26.12,14.39,3.03,0.0
20051008:1010,210.9,264.26,30.91,15.53,2.97,0.0
20051008:1110,360.94,442.75,33.14,16.97,3.31,0.0
20051008:1210,194.19,248.1,32.49,18.43,3.66,0.0
20051008:1310,130.64,173.79,29.05,18.7,3.59,0.0
20051008:1410,203.14,258.52,23.31,18.9,3.45,0.0
20051008:1510,303.29,381.62,15.86,18.68,2.76,0.0
20051008:1610,151.67,213.85,7.3,18.23,2.28,0.0
20051008:1710,0.0,0.0,0.0,16.74,2.34,0.0
20051008:1810,0.0,0.0,0.0,15.47,2.48,0.0
20051008:1910,0.0,0.0,0.0,14.46,2.83,0.0
20051008:2010,0.0,0.0,0.0,13.8,2.97,0.0
20051008:2110,0.0,0.0,0.0,13.43,3.1,0.0
20051008:2210,0.0,0.0,0.0,13.12,3.24,0.0
20051008:2310,0.0,0.0,0.0,13.05,3.31,0.0
20051009:0010,0.0,0.0,0.0,12.91,3.38,0.0
20051009:0110,0.0,0.0,0.0,12.62,3.24,0.0
20051009:0210,0.0,0.0,0.0,12.43,3.03,0.0
20051009:0310,0.0,0.0,0.0,12.4,2.83,0.0
20051009:0410,0.0,0.0,0.0,12.21,2.69,0.0
20051009:0510,0.0,0.0,0.0,12.08,2.55,0.0
20051009:0610,0.0,0.0,0.0,12.13,2.28,0.0
20051009:0710,77.43,110.05,10.96,12.74,2.14,0.0
20051009:0810,366.27,445.31,19.06,13.92,2.14,0.0
20051009:0910,99.43,134.73,25.8,14.69,2.21,0.0
20051009:1010,170.83,218.2,30.55,15.27,2.28,0.0
20051009:1110,228.03,286.14,32.76,15.81,1.79,0.0
20051009:1210,101.33,138.14,32.1,16.09,1.38,0.0
20051009:1310,63.27,92.71,28.67,16.36,1.17,0.0
20051009:1410,130.32,172.68,22.93,16.73,1.1,0.0
20051009:1510,254.23,322.73,15.51,16.82,0.69,0.0
20051009:1610,179.64,253.21,6.96,16.74,0.34,0.0
20051009:1710,0.0,0.0,0.0,16.11,1.03,0.0
20051009:1810,0.0,0.0,0.0,15.26,1.59,0.0
20051009:1910,0.0,0.0,0.0,14.12,1.59,0.0
20051009:2010,0.0,0.0,0.0,13.51,1.59,0.0
20051009:2110,0.0,0.0,0.0,13.02,1.72,0.0
20051009:2210,0.0,0.0,0.0,12.66,1.72,0.0
20051009:2310,0.0,0.0,0.0,12.38,1.79,0.0
20051010:0010,0.0,0.0,0.0,12.15,2.0,0.0
20051010:0110,0.0,0.0,0.0,12.26,2.21,0.0
20051010:0210,0.0,0.0,0.0,12.39,2.48,0.0
20051010:0310,0.0,0.0,0.0,12.49,2.62,0.0
20051010:0410,0.0,0.0,0.0,12.51,2.76,0.0
20051010:0510,0.0,0.0,0.0,12.49,2.83,0.0
20051010:0610,0.0,0.0,0.0,12.43,2.9,0.0
20051010:0710,109.52,149.27,10.69,12.76,2.76,0.0
20051010:0810,342.93,417.14,18.77,14.54,2.69,0.0
20051010:0910,491.14,598.89,25.47,16.77,3.31,0.0
20051010:1010,626.58,779.22,30.2,18.73,3.52,0.0
20051010:1110,686.43,867.34,32.39,20.31,3.59,0.0
20051010:1210,649.9,824.08,31.72,21.46,3.52,0.0
20051010:1310,652.82,830.38,28.29,22.16,3.52,0.0
20051010:1410,554.06,700.2,22.57,22.39,3.45,0.0
20051010:1510,391.23,499.46,15.15,22.0,2.97,0.0
20051010:1610,186.4,265.77,6.61,20.73,2.97,0.0
20051010:1710,0.0,0.0,0.0,18.71,3.17,0.0
20051010:1810,0.0,0.0,0.0,17.29,3.38,0.0
20051010:1910,0.0,0.0,0.0,16.19,3.72,0.0
20051010:2010,0.0,0.0,0.0,15.5,4.0,0.0
20051010:2110,0.0,0.0,0.0,15.06,4.21,0.0
20051010:2210,0.0,0.0,0.0,14.64,4.07,0.0
20051010:2310,0.0,0.0,0.0,14.21,3.79,0.0
20051011:0010,0.0,0.0,0.0,13.77,3.66,0.0
20051011:0110,0.0,0.0,0.0,13.42,3.52,0.0
20051011:0210,0.0,0.0,0.0,13.13,3.38,0.0
20051011:0310,0.0,0.0,0.0,12.87,3.31,0.0
20051011:0410,0.0,0.0,0.0,12.64,3.24,0.0
20051011:0510,0.0,0.0,0.0,12.37,3.24,0.0
20051011:0610,0.0,0.0,0.0,12.12,3.31,0.0
20051011:0710,117.96,159.37,10.42,12.51,3.24,0.0
20051011:0810,334.46,405.55,18.47,14.12,3.03,0.0
20051011:0910,486.1,589.3,25.15,15.93,3.52,0.0
20051011:1010,637.16,789.42,29.85,17.56,3.38,0.0
20051011:1110,680.89,855.24,32.01,18.88,3.38,0.0
20051011:1210,684.41,865.28,31.33,19.92,3.38,0.0
20051011:1310,648.11,818.95,27.91,20.58,3.31,0.0
20051011:1410,544.41,683.51,22.2,20.88,3.24,0.0
20051011:1510,383.01,485.86,14.8,20.72,3.03,0.0
20051011:1610,178.86,254.76,6.27,19.73,2.69,0.0
20051011:1710,0.0,0.0,0.0,17.89,2.9,0.0
20051011:1810,0.0,0.0,0.0,16.57,3.1,0.0
20051011:1910,0.0,0.0,0.0,15.81,3.17,0.0
20051011:2010,0.0,0.0,0.0,15.12,3.17,0.0
20051011:2110,0.0,0.0,0.0,14.57,3.17,0.0
20051011:2210,0.0,0.0,0.0,14.15,3.24,0.0
20051011:2310,0.0,0.0,0.0,13.86,3.38,0.0
20051012:0010,0.0,0.0,0.0,13.61,3.45,0.0
20051012:0110,0.0,0.0,0.0,13.34,3.52,0.0
20051012:0210,0.0,0.0,0.0,13.09,3.59,0.0
20051012:0310,0.0,0.0,0.0,12.81,3.66,0.0
20051012:0410,0.0,0.0,0.0,12.6,3.72,0.0
20051012:0510,0.0,0.0,0.0,12.46,3.86,0.0
20051012:0610,0.0,0.0,0.0,12.38,3.86,0.0
20051012:0710,94.65,131.48,10.14,13.24,3.93,0.0
20051012:0810,326.12,395.83,18.18,14.87,3.72,0.0
20051012:0910,478.79,579.42,24.82,16.69,4.34,0.0
20051012:1010,615.62,757.61,29.49,18.3,4.34,0.0
20051012:1110,692.62,866.11,31.64,19.58,4.28,0.0
20051012:1210,673.03,845.31,30.95,20.42,4.14,0.0
20051012:1310,662.22,834.3,27.53,20.87,3.86,0.0
20051012:1410,556.53,696.71,21.84,20.95,3.72,0.0
20051012:1510,372.93,472.12,14.45,20.64,3.38,0.0
20051012:1610,192.05,273.93,5.94,19.59,3.03,0.0
20051012:1710,0.0,0.0,0.0,17.92,3.1,0.0
20051012:1810,0.0,0.0,0.0,16.71,3.17,0.0
20051012:1910,0.0,0.0,0.0,15.81,3.24,0.0
20051012:2010,0.0,0.0,0.0,15.22,3.31,0.0
20051012:2110,0.0,0.0,0.0,14.82,3.38,0.0
20051012:2210,0.0,0.0,0.0,14.55,3.52,0.0
20051012:2310,0.0,0.0,0.0,14.38,3.52,0.0
20051013:0010,0.0,0.0,0.0,14.12,3.38,0.0
20051013:0110,0.0,0.0,0.0,13.84,3.17,0.0
20051013:0210,0.0,0.0,0.0,13.5,3.03,0.0
20051013:0310,0.0,0.0,0.0,13.15,2.97,0.0
20051013:0410,0.0,0.0,0.0,12.87,2.97,0.0
20051013:0510,0.0,0.0,0.0,12.58,2.9,0.0
20051013:0610,0.0,0.0,0.0,12.34,2.9,0.0
20051013:0710,51.93,78.75,9.87,12.34,2.76,0.0
20051013:0810,299.58,365.09,17.88,13.9,2.48,0.0
20051013:0910,433.46,526.32,24.5,15.73,2.97,0.0
20051013:1010,637.0,793.87,29.14,17.28,2.69,0.0
20051013:1110,672.3,853.85,31.27,18.52,2.28,0.0
20051013:1210,672.34,863.39,30.57,19.47,1.93,0.0
20051013:1310,619.89,795.47,27.16,20.04,1.66,0.0
20051013:1410,480.51,610.76,21.47,20.3,1.31,0.0
20051013:1510,359.85,463.82,14.1,20.26,0.83,0.0
20051013:1610,106.46,159.26,5.6,19.71,0.21,0.0
20051013:1710,0.0,0.0,0.0,18.99,0.62,0.0
20051013:1810,0.0,0.0,0.0,17.61,0.83,0.0
20051013:1910,0.0,0.0,0.0,14.26,1.52,0.0
20051013:2010,0.0,0.0,0.0,14.11,1.17,0.0
20051013:2110,0.0,0.0,0.0,13.31,1.24,0.0
20051013:2210,0.0,0.0,0.0,12.39,1.31,0.0
20051013:2310,0.0,0.0,0.0,11.97,1.17,0.0
20051014:0010,0.0,0.0,0.0,11.31,1.31,0.0
20051014:0110,0.0,0.0,0.0,10.71,1.38,0.0
20051014:0210,0.0,0.0,0.0,11.21,1.03,0.0
20051014:0310,0.0,0.0,0.0,11.88,0.48,0.0
20051014:0410,0.0,0.0,0.0,10.96,0.76,0.0
20051014:0510,0.0,0.0,0.0,10.17,0.76,0.0
20051014:0610,0.0,0.0,0.0,10.04,0.41,0.0
20051014:0710,36.36,59.03,9.59,11.35,0.41,0.0
20051014:0810,170.56,215.59,17.58,12.33,0.48,0.0
20051014:0910,228.27,283.65,24.17,13.09,0.34,0.0
20051014:1010,406.19,503.82,28.79,14.49,0.28,0.0
20051014:1110,675.68,871.48,30.89,16.1,0.76,0.0
20051014:1210,708.9,920.45,30.19,17.52,1.1,0.0
20051014:1310,626.54,803.84,26.78,18.54,1.24,0.0
20051014:1410,528.13,669.7,21.11,19.04,1.38,0.0
20051014:1510,350.43,445.37,13.76,19.03,1.72,0.0
20051014:1610,115.19,170.43,5.27,18.37,1.72,0.0
20051014:1710,0.0,0.0,0.0,16.96,2.21,0.0
20051014:1810,0.0,0.0,0.0,15.86,2.34,0.0
20051014:1910,0.0,0.0,0.0,15.06,2.48,0.0
20051014:2010,0.0,0.0,0.0,14.28,2.41,0.0
20051014:2110,0.0,0.0,0.0,13.63,2.34,0.0
20051014:2210,0.0,0.0,0.0,12.96,2.28,0.0
20051014:2310,0.0,0.0,0.0,12.29,2.21,0.0
20051015:0010,0.0,0.0,0.0,11.62,2.14,0.0
20051015:0110,0.0,0.0,0.0,11.01,2.14,0.0
20051015:0210,0.0,0.0,0.0,10.43,2.0,0.0
20051015:0310,0.0,0.0,0.0,9.86,2.0,0.0
20051015:0410,0.0,0.0,0.0,9.37,2.0,0.0
20051015:0510,0.0,0.0,0.0,8.95,1.93,0.0
20051015:0610,0.0,0.0,0.0,8.55,1.86,0.0
20051015:0710,74.24,105.2,9.32,8.71,1.59,0.0
20051015:0810,247.2,301.06,17.29,10.87,1.52,0.0
20051015:0910,362.08,437.7,23.85,13.06,1.86,0.0
20051015:1010,571.97,704.35,28.44,15.02,2.14,0.0
20051015:1110,644.86,806.3,30.53,16.66,2.41,0.0
20051015:1210,661.47,831.73,29.82,17.9,2.69,0.0
20051015:1310,611.87,764.7,26.41,18.67,3.03,0.0
20051015:1410,530.56,659.32,20.76,19.0,3.24,0.0
20051015:1510,367.24,462.56,13.42,18.74,2.97,0.0
20051015:1610,145.11,211.84,4.94,17.53,2.97,0.0
20051015:1710,0.0,0.0,0.0,15.78,3.31,0.0
20051015:1810,0.0,0.0,0.0,14.67,3.38,0.0
20051015:1910,0.0,0.0,0.0,14.03,3.31,0.0
20051015:2010,0.0,0.0,0.0,13.22,3.17,0.0
20051015:2110,0.0,0.0,0.0,12.47,3.03,0.0
20051015:2210,0.0,0.0,0.0,11.78,2.83,0.0
20051015:2310,0.0,0.0,0.0,11.11,2.69,0.0
20051016:0010,0.0,0.0,0.0,10.52,2.76,0.0
20051016:0110,0.0,0.0,0.0,10.1,2.83,0.0
20051016:0210,0.0,0.0,0.0,9.81,2.83,0.0
20051016:0310,0.0,0.0,0.0,9.5,2.62,0.0
20051016:0410,0.0,0.0,0.0,9.18,2.62,0.0
20051016:0510,0.0,0.0,0.0,8.94,2.76,0.0
20051016:0610,0.0,0.0,0.0,8.78,2.9,0.0
20051016:0710,93.65,128.94,9.04,9.25,2.55,0.0
20051016:0810,317.27,380.92,16.99,10.95,2.41,0.0
20051016:0910,450.12,539.92,23.53,13.21,2.97,0.0
20051016:1010,606.14,739.07,28.09,15.07,3.38,0.0
20051016:1110,663.18,817.95,30.16,16.67,3.79,0.0
20051016:1210,660.72,818.99,29.44,17.94,4.0,0.0
20051016:1310,646.02,801.08,26.05,18.76,4.21,0.0
20051016:1410,524.06,646.98,20.4,19.13,4.14,0.0
20051016:1510,357.63,449.43,13.08,18.85,3.59,0.0
20051016:1610,136.02,199.85,4.61,17.57,3.45,0.0
20051016:1710,0.0,0.0,0.0,15.79,3.59,0.0
20051016:1810,0.0,0.0,0.0,14.62,3.66,0.0
20051016:1910,0.0,0.0,0.0,13.65,3.59,0.0
20051016:2010,0.0,0.0,0.0,12.89,3.31,0.0
20051016:2110,0.0,0.0,0.0,12.12,3.03,0.0
20051016:2210,0.0,0.0,0.0,11.4,2.97,0.0
20051016:2310,0.0,0.0,0.0,10.83,2.97,0.0
20051017:0010,0.0,0.0,0.0,10.35,2.97,0.0
20051017:0110,0.0,0.0,0.0,10.0,2.97,0.0
20051017:0210,0.0,0.0,0.0,9.59,2.9,0.0
20051017:0310,0.0,0.0,0.0,9.11,2.97,0.0
20051017:0410,0.0,0.0,0.0,8.67,3.03,0.0
20051017:0510,0.0,0.0,0.0,8.28,2.97,0.0
20051017:0610,0.0,0.0,0.0,7.87,2.9,0.0
20051017:0710,71.02,100.93,8.77,7.48,2.83,0.0
20051017:0810,310.26,368.28,16.69,8.74,2.83,0.0
20051017:0910,448.6,530.16,23.21,10.34,3.1,0.0
20051017:1010,581.37,698.45,27.74,11.9,3.03,0.0
20051017:1110,623.27,754.97,29.79,13.23,3.45,0.0
20051017:1210,615.91,747.74,29.07,14.19,3.72,0.0
20051017:1310,609.86,741.0,25.68,14.86,3.93,0.0
20051017:1410,566.45,687.94,20.05,15.14,4.0,0.0
20051017:1510,306.43,378.64,12.75,14.9,3.79,0.0
20051017:1610,151.67,218.93,4.29,13.82,3.66,0.0
20051017:1710,0.0,0.0,0.0,12.31,3.79,0.0
20051017:1810,0.0,0.0,0.0,11.33,3.93,0.0
20051017:1910,0.0,0.0,0.0,10.35,3.72,0.0
20051017:2010,0.0,0.0,0.0,9.64,3.59,0.0
20051017:2110,0.0,0.0,0.0,9.07,3.45,0.0
20051017:2210,0.0,0.0,0.0,8.57,3.38,0.0
20051017:2310,0.0,0.0,0.0,8.23,3.38,0.0
20051018:0010,0.0,0.0,0.0,7.99,3.45,0.0
20051018:0110,0.0,0.0,0.0,7.82,3.52,0.0
20051018:0210,0.0,0.0,0.0,7.59,3.45,0.0
20051018:0310,0.0,0.0,0.0,7.28,3.52,0.0
20051018:0410,0.0,0.0,0.0,7.06,3.72,0.0
20051018:0510,0.0,0.0,0.0,6.91,3.86,0.0
20051018:0610,0.0,0.0,0.0,6.74,3.79,0.0
20051018:0710,51.46,76.88,8.49,6.82,3.86,0.0
20051018:0810,243.1,290.44,16.4,8.03,3.38,0.0
20051018:0910,384.32,450.31,22.88,9.61,4.34,0.0
20051018:1010,544.96,643.47,27.4,11.25,4.62,0.0
20051018:1110,597.46,713.32,29.43,12.81,4.76,0.0
20051018:1210,611.43,735.7,28.7,14.1,4.76,0.0
20051018:1310,537.74,647.06,25.32,14.97,4.76,0.0
20051018:1410,493.42,595.55,19.71,15.35,4.62,0.0
20051018:1510,387.41,478.01,12.41,15.09,3.93,0.0
20051018:1610,42.08,69.88,3.97,13.94,3.86,0.0
20051018:1710,0.0,0.0,0.0,12.5,3.93,0.0
20051018:1810,0.0,0.0,0.0,11.52,3.93,0.0
20051018:1910,0.0,0.0,0.0,10.86,3.79,0.0
20051018:2010,0.0,0.0,0.0,10.49,3.79,0.0
20051018:2110,0.0,0.0,0.0,10.34,3.86,0.0
20051018:2210,0.0,0.0,0.0,10.18,3.72,0.0
20051018:2310,0.0,0.0,0.0,10.13,3.59,0.0
20051019:0010,0.0,0.0,0.0,10.18,3.59,0.0
20051019:0110,0.0,0.0,0.0,10.57,3.66,0.0
20051019:0210,0.0,0.0,0.0,10.83,3.72,0.0
20051019:0310,0.0,0.0,0.0,10.91,3.93,0.0
20051019:0410,0.0,0.0,0.0,10.78,4.0,0.0
20051019:0510,0.0,0.0,0.0,10.58,3.93,0.0
20051019:0610,0.0,0.0,0.0,10.9,4.0,0.0
20051019:0710,69.35,100.77,8.22,11.59,4.07,0.0
20051019:0810,159.22,200.19,16.1,12.13,4.0,0.0
20051019:0910,42.36,65.82,22.56,12.57,4.07,0.0
